emp_id,first_name,last_name,department_id,hire_date,leaving_date,salary,salary_date,position,email,contact_no,age,gender,address
1,Rohit,Yadav,8,2016-01-01,2019-01-01,102505.0,2025-01-01,Executive,user0@gmail.com,8080808080,38,Female,Chennai
2,Tina,Kaur,9,2016-01-31,2019-02-15,27869.0,2025-01-16,Manager,user1@gmail.com,9819000001,52,Male,Chennai
3,Usha,Chopra,4,2016-03-01,2019-04-01,86135.0,2025-01-31,Manager,user2@gmail.com,,44,Female,Bangalore
4,Deepak,Kumar,1,2016-03-31,2019-05-16,75108.0,2025-02-15,Manager,user3@gmail.com,,43,Female,Delhi
5,Sonal,Ahuja,1,2016-04-30,2019-06-30,137296.0,2025-03-02,Analyst,user4@gmail.com,9819000001,52,Female,Delhi
6,Rohit,Yadav,10,2016-05-30,2019-08-14,119179.0,2025-03-17,Analyst,user5@gmail.com,,32,Female,
7,Namrata,Sharma,4,2016-06-29,2019-09-28,115272.0,2025-04-01,Analyst,user6@gmail.com,,33,Male,
8,Deepak,Yadav,7,2016-07-29,2019-11-12,63467.0,2025-04-16,Executive,user7@gmail.com,,43,Male,
9,Deepak,Patel,2,2016-08-28,2019-12-27,48328.0,2025-05-01,Assistant,user8@gmail.com,7012345678,45,Other,
10,Neha,Dubey,3,2016-09-27,2020-02-10,144181.0,2025-05-16,Clerk,user9@gmail.com,9004000400,55,Female,Hyderabad
11,Sonal,Bansal,1,2016-10-27,2020-03-26,116412.0,2025-05-31,Intern,user10@gmail.com,8080808080,50,Other,Hyderabad
12,Rahul,Yadav,5,2016-11-26,2020-05-10,111831.0,2025-06-15,Manager,user11@gmail.com,7012345678,37,Male,Chennai
13,Priya,Sharma,1,2016-12-26,2020-06-24,28987.0,2025-06-30,Clerk,user12@gmail.com,,40,Male,Mumbai
14,Sandeep,Patel,8,2017-01-25,2020-08-08,83871.0,2025-07-15,Manager,user13@gmail.com,9819000001,45,Male,Bangalore
15,Ankita,Kapoor,1,2017-02-24,2020-09-22,47399.0,2025-07-30,Executive,user14@gmail.com,,42,Male,Bangalore
16,Priya,Singh,1,2017-03-26,2020-11-06,71214.0,2025-08-14,Manager,user15@gmail.com,9004000400,33,Male,
17,Amit,Dubey,2,2017-04-25,2020-12-21,124522.0,2025-08-29,Analyst,user16@gmail.com,,39,Male,Chennai
18,Sandeep,Bansal,2,2017-05-25,2021-02-04,111416.0,2025-09-13,Intern,user17@gmail.com,9819000001,32,Male,Kolkata
19,Sandeep,Singh,6,2017-06-24,2021-03-21,95271.0,2025-09-28,Lead,user18@gmail.com,9004000400,39,Female,Mumbai
20,Simran,Ahuja,7,2017-07-24,2021-05-05,69064.0,2025-10-13,Manager,user19@gmail.com,,32,Other,Chennai
21,Pooja,Rana,5,2017-08-23,2021-06-19,95091.0,2025-10-28,Clerk,user20@gmail.com,9004000400,29,Male,Mumbai
22,Alok,Dubey,1,2017-09-22,2021-08-03,132450.0,2025-11-12,Analyst,user21@gmail.com,8080808080,27,Female,Mumbai
23,Usha,Dubey,1,2017-10-22,2021-09-17,65818.0,2025-11-27,Lead,user22@gmail.com,8080808080,48,Female,Mumbai
24,Usha,Kapoor,3,2017-11-21,2021-11-01,70525.0,2025-12-12,Intern,user23@gmail.com,,34,Other,Chennai
25,Namrata,Kapoor,2,2017-12-21,2021-12-16,44830.0,2025-12-27,Lead,user24@gmail.com,9004000400,51,Male,
26,Sandeep,Kaur,5,2018-01-20,2022-01-30,42429.0,2026-01-11,Analyst,user25@gmail.com,9819000001,39,Other,Bangalore
27,Tina,Mehra,10,2018-02-19,2022-03-16,31893.0,2026-01-26,Assistant,user26@gmail.com,,36,Male,Bangalore
